run_id,feature,model_id,model_family,split_family,analysis_branch,replicate_id,fold_id,threshold,train_n,test_n,train_pos,train_neg,test_pos,test_neg,mcc,auroc,auprc,f1,precision,sensitivity,specificity,tp,tn,fp,fn
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R06_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R06,2,0.5,130,44,109,21,36,8,0.34528826491882486,0.6666666666666666,0.9032699603250967,0.8732394366197183,0.8857142857142857,0.8611111111111112,0.5,31,4,4,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R06_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R06,3,0.5,131,43,109,22,36,7,0.44249738853409565,0.880952380952381,0.9772120875678422,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.8571428571428571,26,6,1,10
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R06_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R06,4,0.5,131,43,109,22,36,7,0.31897158992671304,0.8293650793650794,0.9677926092806995,0.8529411764705882,0.90625,0.8055555555555556,0.5714285714285714,29,4,3,7
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R07_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R07,1,0.5,130,44,108,22,37,7,0.49893200305250596,0.915057915057915,0.9849965358573678,0.8064516129032258,1.0,0.6756756756756757,1.0,25,7,0,12
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R07_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R07,2,0.5,130,44,109,21,36,8,0.2361111111111111,0.7465277777777777,0.9167486491378389,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.375,31,3,5,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R07_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R07,3,0.5,131,43,109,22,36,7,0.25837616329344654,0.7420634920634921,0.9463000354496419,0.8181818181818182,0.9,0.75,0.5714285714285714,27,4,3,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R07_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R07,4,0.5,131,43,109,22,36,7,0.5196746370519364,0.8650793650793651,0.9739508098660401,0.819672131147541,1.0,0.6944444444444444,1.0,25,7,0,11
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R08_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R08,1,0.5,130,44,108,22,37,7,0.3572041737052757,0.7837837837837838,0.9518713587873231,0.8732394366197183,0.9117647058823529,0.8378378378378378,0.5714285714285714,31,4,3,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R08_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R08,2,0.5,130,44,109,21,36,8,0.18401748249129446,0.6111111111111112,0.87684209821246,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.5,26,4,4,10
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R08_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R08,3,0.5,131,43,109,22,36,7,0.25837616329344654,0.6587301587301587,0.9164318435227526,0.8181818181818182,0.9,0.75,0.5714285714285714,27,4,3,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R08_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R08,4,0.5,131,43,109,22,36,7,0.1212135087055675,0.623015873015873,0.9051702362028136,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.42857142857142855,26,3,4,10
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R09_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R09,1,0.5,130,44,108,22,37,7,0.11716660671033247,0.6640926640926641,0.9227284938348177,0.8493150684931506,0.8611111111111112,0.8378378378378378,0.2857142857142857,31,2,5,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R09_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R09,2,0.5,130,44,109,21,36,8,0.34528826491882486,0.7569444444444444,0.9373723121081916,0.8732394366197183,0.8857142857142857,0.8611111111111112,0.5,31,4,4,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R09_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R09,3,0.5,131,43,109,22,36,7,0.5002149823227526,0.8531746031746031,0.971325805882055,0.8615384615384616,0.9655172413793104,0.7777777777777778,0.8571428571428571,28,6,1,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R09_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R09,4,0.5,131,43,109,22,36,7,0.25837616329344654,0.7222222222222222,0.9154271730013438,0.8181818181818182,0.9,0.75,0.5714285714285714,27,4,3,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R10_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R10,1,0.5,130,44,108,22,37,7,0.17937400083354382,0.7722007722007723,0.9500067811016861,0.8285714285714286,0.8787878787878788,0.7837837837837838,0.42857142857142855,29,3,4,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R10_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R10,2,0.5,130,44,109,21,36,8,0.18401748249129446,0.6527777777777778,0.9017198678457391,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.5,26,4,4,10
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R10_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R10,3,0.5,131,43,109,22,36,7,0.181848241863327,0.5992063492063492,0.8781975956613143,0.7619047619047619,0.8888888888888888,0.6666666666666666,0.5714285714285714,24,4,3,12
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R10_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R10,4,0.5,131,43,109,22,36,7,0.5473720332218277,0.8492063492063491,0.964725044674349,0.9142857142857143,0.9411764705882353,0.8888888888888888,0.7142857142857143,32,5,2,4
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R01_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R01,1,0.5,132,45,108,24,37,8,0.24534987303147354,0.7972972972972974,0.9540042377493614,0.8285714285714286,0.8787878787878788,0.7837837837837838,0.5,29,4,4,8
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R01_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R01,2,0.5,133,44,109,24,36,8,0.21134098610290408,0.84375,0.9655978413522773,0.8059701492537313,0.8709677419354839,0.75,0.5,27,4,4,9
