feature_set,model_key,analysis_branch,n_replicates,accuracy_mean_across_replicates,accuracy_sd_across_replicates,f1_mean_across_replicates,f1_sd_across_replicates,mcc_mean_across_replicates,mcc_sd_across_replicates,auroc_mean_across_replicates,auroc_sd_across_replicates,auprc_mean_across_replicates,auprc_sd_across_replicates,precision_mean_across_replicates,precision_sd_across_replicates,sensitivity_mean_across_replicates,sensitivity_sd_across_replicates,specificity_mean_across_replicates,specificity_sd_across_replicates
aac_plus_terminal,logistic_regression_l2,core_only,10,0.6734055673009162,0.034380336434317746,0.7843259604924184,0.024363870037876795,0.12980034573103083,0.09676050886612302,0.635421694015444,0.0557195107235874,0.9030192311956416,0.017803199834557342,0.8659061314667561,0.024084966077165947,0.7205330330330331,0.025558931701470854,0.43973214285714285,0.09882677882901386
aac_plus_terminal,logistic_regression_l2,sensplus,10,0.6609469696969698,0.02605698500256619,0.7707627829832832,0.020536315916842313,0.13475908040035392,0.05477465915322701,0.6351140202702703,0.05007764383639057,0.8978018842442671,0.01819524301429526,0.8561399172079043,0.01454351224633017,0.7061186186186186,0.029826376092460628,0.45625,0.05929270612815711
physchem_plus_terminal,linear_svm,core_only,10,0.6670786351891003,0.04566875592352766,0.781462418620294,0.033003200847366555,0.08978625773854973,0.1163101148777204,0.5893674924924925,0.06715318228850134,0.8789882541832739,0.02317570385918232,0.8557103218226066,0.027469173767317,0.7233671171171171,0.03915011504977108,0.3866071428571428,0.1128639552394397
physchem_plus_terminal,linear_svm,sensplus,10,0.6399747474747475,0.03704852324186265,0.7562916813727479,0.02775480127743356,0.07405900056356558,0.08496767112983139,0.5695265578078078,0.06859695171449966,0.8663448662206522,0.023950528822836912,0.8397487904361939,0.02308600384076241,0.6935998498498499,0.03564520875037496,0.396875,0.08468948593407435
physchem_plus_terminal,logistic_regression_l2,core_only,10,0.6395536762978623,0.04119135587674527,0.7588180870227227,0.030282800754635814,0.05899544173326743,0.09961902280072393,0.596834446053196,0.05989705435680547,0.8831420587489038,0.020817654937301738,0.8501293362154978,0.026870007103429957,0.6902402402402402,0.033913087184260476,0.3875,0.10028481266270406
physchem_plus_terminal,logistic_regression_l2,sensplus,10,0.6281565656565656,0.03018395750910338,0.7474443990131742,0.023417884580028515,0.05435777629488115,0.06573016048508372,0.5748639264264264,0.05830951448794213,0.8701748127891229,0.019973947987281266,0.8356120679772302,0.019624741660996016,0.6812687687687687,0.02833162759290409,0.3875,0.06620936909196126
physchem_small,linear_svm,core_only,10,0.6664954780361757,0.028466073708776282,0.7714653066058424,0.02358812833793835,0.2036349157146892,0.05677266996432523,0.6806195704633204,0.04601602516372597,0.9118524788861997,0.018044283895677974,0.8909590633373916,0.015552930912364224,0.6853415915915916,0.032382789713351866,0.5732142857142857,0.06421954266314847
physchem_small,linear_svm,sensplus,10,0.6332196969696969,0.025977217207825223,0.7428606845900627,0.0235386546871521,0.15121372286082552,0.04391477601561271,0.6370049737237238,0.0468513517869623,0.8888510339646034,0.020131196167181,0.865944870631955,0.014136827714519505,0.65487987987988,0.032356858981984586,0.534375,0.05197906229114437
physchem_small,logistic_regression_l2,core_only,10,0.6596887479445619,0.02553070836536078,0.7664835447161821,0.021626688035527593,0.1919461868195451,0.04095839525606025,0.6831791613041613,0.04044560497600966,0.915197484749376,0.013666030683248667,0.8889929052274582,0.010933858327073075,0.6784346846846847,0.029195347873103416,0.5674107142857143,0.03819798736402394
physchem_small,logistic_regression_l2,sensplus,10,0.6247853535353536,0.030106219395915543,0.7350550438866138,0.02826289989585411,0.14788354678905913,0.03997371102687673,0.640843186936937,0.038875094777291626,0.8925718581981228,0.012970689305293121,0.8664564116363493,0.012172128529323699,0.6425112612612612,0.04058001394098292,0.54375,0.05145453764678529
terminal_grouped,linear_svm,core_only,10,0.608566772374912,0.03717372094393678,0.7314863669665859,0.03071492945615448,0.049562001784856154,0.07544749678120632,0.5061368846525096,0.05995286919334967,0.8447676282884802,0.01782084785796975,0.84826171920474,0.022743663458024397,0.6468468468468469,0.03894671023501243,0.4178571428571428,0.08229583753315503
terminal_grouped,linear_svm,sensplus,10,0.5801641414141414,0.031139403143823872,0.7047896259627637,0.022803618126527408,0.014218242557626218,0.07729954609219962,0.5000035191441442,0.060207195385097945,0.8343454836842398,0.020422503451641046,0.8239595336487475,0.02493871895604964,0.6205893393393394,0.02716530296244455,0.396875,0.08339841208853373
terminal_grouped,logistic_regression_l2,core_only,10,0.5999251233262861,0.031194057551166894,0.725252848405247,0.02517502484775941,0.026888086793489117,0.0663633465110237,0.5031673973080223,0.06460016135209695,0.8434443422693739,0.021833536457249423,0.8411417120038156,0.020388714690179548,0.6412162162162162,0.032928977372278304,0.39375,0.0747254991736915
terminal_grouped,logistic_regression_l2,sensplus,10,0.5711237373737373,0.024800746192392815,0.6980328423059352,0.019268153795581743,-0.010558462184827661,0.05410874959104674,0.4986169763513513,0.0596394090092492,0.834160258259279,0.021229815880481177,0.8172493400647424,0.021416215805790197,0.6143393393393394,0.026150672198917837,0.375,0.06909634979907084
