run_id,replicate,analysis_branch,fold,positive_sample_seed,fold_split_seed,feature_set,model,solver,class_weight,penalty,max_iter,threshold,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R01-R08-core_only-F2,R08,core_only,2,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6590909090909091,0.7692307692307693,0.15821481751152242,0.6631944444444444,0.916791658659167,0.8620689655172413,0.6944444444444444,0.5,25,4,4,11,44,36,8
PILOT-R01-R08-core_only-F3,R08,core_only,3,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.8059701492537313,0.14697408781305385,0.746031746031746,0.948889539301964,0.8709677419354839,0.75,0.42857142857142855,27,3,4,9,43,36,7
PILOT-R01-R08-core_only-F4,R08,core_only,4,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6046511627906976,0.6909090909090909,0.39234574699515373,0.7936507936507935,0.9607839070083121,1.0,0.5277777777777778,1.0,19,7,0,17,43,36,7
PILOT-R01-R08-sensplus-F1,R08,sensplus,1,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7777777777777778,0.8648648648648649,0.23986486486486486,0.6621621621621622,0.9077151600260014,0.8648648648648649,0.8648648648648649,0.375,32,3,5,5,45,37,8
PILOT-R01-R08-sensplus-F2,R08,sensplus,2,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.7936507936507936,0.35205245972503973,0.6875,0.928119147181996,0.9259259259259259,0.6944444444444444,0.75,25,6,2,11,44,36,8
PILOT-R01-R08-sensplus-F3,R08,sensplus,3,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7878787878787878,0.18401748249129446,0.7499999999999999,0.9455507637361602,0.8666666666666667,0.7222222222222222,0.5,26,4,4,10,44,36,8
PILOT-R01-R08-sensplus-F4,R08,sensplus,4,49,49,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.5681818181818182,0.6545454545454545,0.29199855803537256,0.7048611111111112,0.931481019588801,0.9473684210526315,0.5,0.875,18,7,1,18,44,36,8
PILOT-R01-R09-core_only-F1,R09,core_only,1,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.8115942028985508,0.1522038868295523,0.6640926640926641,0.9288969650962773,0.875,0.7567567567567568,0.42857142857142855,28,3,4,9,44,37,7
PILOT-R01-R09-core_only-F2,R09,core_only,2,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.7569444444444445,0.9421519474843926,0.875,0.7777777777777778,0.5,28,4,4,8,44,36,8
PILOT-R01-R09-core_only-F3,R09,core_only,3,50,50,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7441860465116279,0.835820895522388,0.2874159939455275,0.6746031746031746,0.9141774199633824,0.9032258064516129,0.7777777777777778,0.5714285714285714,28,4,3,8,43,36,7
