model_key,analysis_branch,replicate,n_folds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
logistic_regression_l2,sensplus,R05,4,0.6950757575757576,0.05880369203128797,0.7920910155106818,0.050341931044363686,0.25708187153816314,0.09055751449635384,0.7156531531531531,0.02666695746122637,0.9293191000326867,0.00800789081390099,0.8901377688172043,0.025045085889264556,0.7173423423423424,0.0823559087675082,0.59375,0.11967838846954226
logistic_regression_l2,sensplus,R06,4,0.67260101010101,0.04394882634158013,0.7735290750915751,0.031321996807481836,0.24575007888201414,0.10723573042535979,0.697072072072072,0.054296159028033565,0.9202474606729736,0.012838743818609846,0.8918650793650793,0.029228015600508438,0.6829954954954955,0.03222913309916396,0.625,0.10206207261596575
logistic_regression_l2,sensplus,R07,4,0.6893939393939393,0.026243194054073927,0.7849949070537305,0.0280612664279415,0.2828050499566919,0.09217891924449265,0.7566629129129129,0.04399331604973927,0.9378995938598499,0.014896964200792229,0.9057692307692308,0.042966254870974274,0.6968843843843844,0.06551313054324974,0.65625,0.1875
logistic_regression_l2,sensplus,R08,4,0.6830808080808081,0.08685547233292847,0.7752349752349752,0.08774676800397205,0.2669833412791429,0.07183606677697989,0.7011308183183182,0.036997600702391914,0.9282165226332396,0.015614610740361329,0.9012064696275223,0.04185565475282387,0.6953828828828829,0.15013310088389586,0.625,0.22821773229381923
logistic_regression_l2,sensplus,R09,4,0.6948232323232323,0.04794589445427958,0.7867947439526506,0.04735637970665382,0.30946769653848916,0.04555393568979149,0.7244275525525525,0.03694862265252416,0.9310468411280438,0.011308071498088485,0.9126571009635526,0.028259653381871287,0.6963213213213213,0.08270647726994193,0.6875,0.125
logistic_regression_l2,sensplus,R10,4,0.643560606060606,0.1277610581148076,0.7495594129665154,0.1096108643926489,0.16516756996198684,0.20825374761850035,0.6593233858858859,0.12298605710987018,0.9047908481012313,0.06141186841770283,0.8603490410220109,0.065387754091706,0.6685435435435435,0.13140568915701678,0.53125,0.15728821740147395
random_forest,core_only,R01,4,0.8506459948320413,0.04796467038830844,0.9162386580774322,0.026685590093467323,0.3038370072972163,0.29730793180310716,0.7773219648219649,0.05230196935918031,0.9366649387211953,0.026656977625243584,0.8608885017421603,0.029198211268564672,0.9793543543543544,0.026532427998607052,0.20535714285714285,0.18064274887492282
random_forest,core_only,R02,4,0.8391913319238901,0.01732871129781249,0.9108900593077809,0.009497408997819099,0.1887643851811776,0.1437448033801823,0.7819337194337195,0.0816774820241546,0.9459905455783425,0.021376390198739537,0.8465315172632246,0.018971038545694027,0.9862987987987988,0.015823752934202684,0.10714285714285714,0.07142857142857142
random_forest,core_only,R03,4,0.8393234672304439,0.048310711263025476,0.9108130529807745,0.027761948552180716,0.18715150656662685,0.28535003832755884,0.8509592181467182,0.06430189677347854,0.9614760506624047,0.023036829332868134,0.8463117521540664,0.02968593381473571,0.9861111111111112,0.02777777777777779,0.10714285714285714,0.13677530110804828
random_forest,core_only,R04,4,0.8506871035940804,0.011290676511636412,0.9167285911956131,0.006216869731880981,0.31265048403061524,0.0756799152144226,0.7520209942084942,0.047867218687317824,0.9383623411709762,0.01566068651558105,0.8566237541528239,0.015439627446030963,0.9862987987987988,0.015823752934202684,0.17410714285714285,0.07487943824648288
