feature_set,model_key,analysis_branch,baseline_feature_set,accuracy_feature,accuracy_aac_reference,accuracy_delta_vs_aac,f1_feature,f1_aac_reference,f1_delta_vs_aac,mcc_feature,mcc_aac_reference,mcc_delta_vs_aac,auroc_feature,auroc_aac_reference,auroc_delta_vs_aac,auprc_feature,auprc_aac_reference,auprc_delta_vs_aac,precision_feature,precision_aac_reference,precision_delta_vs_aac,sensitivity_feature,sensitivity_aac_reference,sensitivity_delta_vs_aac,specificity_feature,specificity_aac_reference,specificity_delta_vs_aac
aac_plus_physchem,logistic_regression_l2,core_only,AAC_reference,0.7011654334038055,0.6937676180408738,0.0073978153629317145,0.7976071388058665,0.7909798613183995,0.006627277487467054,0.27371279712707464,0.2753864932881743,-0.0016736961610996914,0.7295303115615616,0.7260205518018018,0.0035097597597597563,0.9346626201631064,0.9362883448772973,-0.0016257247141908682,0.9090149775426053,0.9133355327173929,-0.004320555174787577,0.7164977477477478,0.7027402402402402,0.013757507507507594,0.628125,0.6504464285714285,-0.022321428571428492
aac_plus_terminal,logistic_regression_l2,core_only,AAC_reference,0.6734055673009162,0.6937676180408738,-0.02036205073995767,0.7843259604924184,0.7909798613183995,-0.006653900825981052,0.12980034573103083,0.2753864932881743,-0.1455861475571435,0.635421694015444,0.7260205518018018,-0.09059885778635779,0.9030192311956416,0.9362883448772973,-0.03326911368165564,0.8659061314667561,0.9133355327173929,-0.04742940125063677,0.7205330330330331,0.7027402402402402,0.01779279279279289,0.43973214285714285,0.6504464285714285,-0.2107142857142857
physchem_plus_terminal,logistic_regression_l2,core_only,AAC_reference,0.6395536762978623,0.6937676180408738,-0.05421394174301153,0.7588180870227227,0.7909798613183995,-0.03216177429567679,0.05899544173326743,0.2753864932881743,-0.2163910515549069,0.596834446053196,0.7260205518018018,-0.12918610574860578,0.8831420587489038,0.9362883448772973,-0.05314628612839345,0.8501293362154978,0.9133355327173929,-0.06320619650189507,0.6902402402402402,0.7027402402402402,-0.012499999999999956,0.3875,0.6504464285714285,-0.2629464285714285
physchem_small,logistic_regression_l2,core_only,AAC_reference,0.6596887479445619,0.6937676180408738,-0.03407887009631194,0.7664835447161821,0.7909798613183995,-0.024496316602217405,0.1919461868195451,0.2753864932881743,-0.08344030646862924,0.6831791613041613,0.7260205518018018,-0.042841390497640464,0.915197484749376,0.9362883448772973,-0.021090860127921274,0.8889929052274582,0.9133355327173929,-0.024342627489934654,0.6784346846846847,0.7027402402402402,-0.02430555555555547,0.5674107142857143,0.6504464285714285,-0.08303571428571421
terminal_grouped,logistic_regression_l2,core_only,AAC_reference,0.5999251233262861,0.6937676180408738,-0.09384249471458772,0.725252848405247,0.7909798613183995,-0.06572701291315253,0.026888086793489117,0.2753864932881743,-0.24849840649468521,0.5031673973080223,0.7260205518018018,-0.22285315449377952,0.8434443422693739,0.9362883448772973,-0.09284400260792336,0.8411417120038156,0.9133355327173929,-0.07219382071357727,0.6412162162162162,0.7027402402402402,-0.061524024024024015,0.39375,0.6504464285714285,-0.25669642857142855
aac_plus_physchem,logistic_regression_l2,sensplus,AAC_reference,0.6846969696969697,0.6835984848484848,0.0010984848484848486,0.7810243900585617,0.7792515931872485,0.0017727968713132647,0.2671479885451681,0.2758546488014154,-0.008706660256247334,0.7219711899399399,0.7249038100600601,-0.0029326201201201885,0.9274821847798037,0.9308394817473302,-0.003357296967526513,0.897257705487818,0.9024335233790896,-0.005175817891271528,0.6965277777777777,0.690990990990991,0.005536786786786707,0.63125,0.65,-0.018750000000000044
aac_plus_terminal,logistic_regression_l2,sensplus,AAC_reference,0.6609469696969698,0.6835984848484848,-0.02265151515151509,0.7707627829832832,0.7792515931872485,-0.008488810203965302,0.13475908040035392,0.2758546488014154,-0.1410955684010615,0.6351140202702703,0.7249038100600601,-0.0897897897897898,0.8978018842442671,0.9308394817473302,-0.03303759750306312,0.8561399172079043,0.9024335233790896,-0.046293606171185275,0.7061186186186186,0.690990990990991,0.015127627627627538,0.45625,0.65,-0.19375000000000003
physchem_plus_terminal,logistic_regression_l2,sensplus,AAC_reference,0.6281565656565656,0.6835984848484848,-0.05544191919191921,0.7474443990131742,0.7792515931872485,-0.031807194174074294,0.05435777629488115,0.2758546488014154,-0.22149687250653427,0.5748639264264264,0.7249038100600601,-0.15003988363363374,0.8701748127891229,0.9308394817473302,-0.060664668958207324,0.8356120679772302,0.9024335233790896,-0.06682145540185935,0.6812687687687687,0.690990990990991,-0.009722222222222299,0.3875,0.65,-0.2625
physchem_small,logistic_regression_l2,sensplus,AAC_reference,0.6247853535353536,0.6835984848484848,-0.05881313131313126,0.7350550438866138,0.7792515931872485,-0.04419654930063466,0.14788354678905913,0.2758546488014154,-0.12797110201235629,0.640843186936937,0.7249038100600601,-0.08406062312312312,0.8925718581981228,0.9308394817473302,-0.03826762354920743,0.8664564116363493,0.9024335233790896,-0.03597711174274021,0.6425112612612612,0.690990990990991,-0.048479729729729804,0.54375,0.65,-0.10625000000000007
terminal_grouped,logistic_regression_l2,sensplus,AAC_reference,0.5711237373737373,0.6835984848484848,-0.1124747474747475,0.6980328423059352,0.7792515931872485,-0.08121875088131325,-0.010558462184827661,0.2758546488014154,-0.28641311098624306,0.4986169763513513,0.7249038100600601,-0.22628683370870878,0.834160258259279,0.9308394817473302,-0.09667922348805125,0.8172493400647424,0.9024335233790896,-0.08518418331434718,0.6143393393393394,0.690990990990991,-0.07665165165165166,0.375,0.65,-0.275
